,title,artist,genre,year,added,bpm,energy,danceability,db,liveness,valence,duration,acousticness,speechiness,popularity,country
566,Quizas,Rich Music LTD,reggaeton,2019,1969-12-31,176.0,82.0,73.0,-2.0,23.0,68.0,216,3.0,15.0,90,spain
567,Hola - Remix,Dalex,latin,2019,1969-12-31,182.0,67.0,65.0,-6.0,8.0,34.0,250,47.0,31.0,89,spain
568,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,1969-12-31,170.0,71.0,74.0,-4.0,8.0,83.0,259,5.0,9.0,88,spain
569,Otro Trago - Remix,Sech,panamanian pop,2019,1969-12-31,176.0,79.0,73.0,-2.0,6.0,76.0,288,7.0,20.0,88,spain
570,No Me Conoce - Remix,Jhay Cortez,latin,2019,1969-12-31,92.0,79.0,81.0,-4.0,9.0,58.0,309,14.0,7.0,88,spain
571,Con Altura,ROSALÍA,r&b en espanol,2019,1969-12-31,98.0,69.0,88.0,-4.0,5.0,75.0,162,39.0,12.0,88,spain
572,Blanco,J Balvin,latin,2019,1969-12-31,100.0,71.0,87.0,-5.0,9.0,59.0,146,3.0,13.0,87,spain
573,Bellaquita - Remix,Dalex,latin,2019,1969-12-31,166.0,72.0,80.0,-4.0,18.0,76.0,305,14.0,8.0,87,spain
574,Last Christmas,Wham!,new wave pop,1984,1969-12-31,108.0,48.0,74.0,-12.0,36.0,95.0,263,19.0,3.0,85,spain
575,Te Quemaste,Manuel Turizo,colombian pop,2019,1969-12-31,176.0,77.0,73.0,-2.0,29.0,72.0,199,61.0,13.0,85,spain
576,Que Calor (feat. J Balvin & El Alfa),Major Lazer,dance pop,2019,1969-12-31,126.0,89.0,80.0,-4.0,29.0,46.0,170,4.0,7.0,85,spain
577,Feliz Navidad,José Feliciano,latin pop,2001,1969-12-31,149.0,86.0,49.0,-7.0,35.0,96.0,182,53.0,4.0,85,spain
578,Alocao (With Bad Gyal),Omar Montes,trap espanol,2019,1969-12-31,178.0,75.0,67.0,-5.0,11.0,70.0,209,21.0,6.0,84,spain
579,Fantasía,Ozuna,latin,2019,1969-12-31,180.0,72.0,70.0,-6.0,9.0,78.0,175,23.0,9.0,84,spain
580,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,1969-12-31,93.0,22.0,33.0,-11.0,34.0,36.0,207,88.0,3.0,84,spain
581,Sigues Con El,Dimelo Flow,latin,2019,1969-12-31,88.0,67.0,88.0,-3.0,7.0,68.0,227,11.0,11.0,83,spain
582,B11 (feat. Myke Towers),Rvssian,latin,2019,1969-12-31,100.0,72.0,76.0,-5.0,13.0,20.0,252,7.0,12.0,83,spain
583,Perreo en La Luna,Rich Music LTD,reggaeton,2019,1969-12-31,174.0,76.0,71.0,-4.0,37.0,72.0,219,27.0,29.0,83,spain
584,105 F Remix,KEVVO,perreo,2019,1969-12-31,100.0,75.0,90.0,-7.0,29.0,74.0,464,37.0,16.0,83,spain
585,Easy - Remix,Jhay Cortez,latin,2019,1969-12-31,94.0,75.0,89.0,-4.0,15.0,44.0,220,19.0,9.0,81,spain
586,Hasta Que Salga el Sol,Ozuna,latin,2019,1969-12-31,96.0,82.0,83.0,-5.0,13.0,60.0,188,2.0,7.0,81,spain
587,Contando Lunares (feat. Cruz Cafuné),Don Patricio,trap espanol,2019,1969-12-31,106.0,52.0,86.0,-10.0,5.0,71.0,220,44.0,13.0,81,spain
588,Rueda,Chimbala,dembow,2019,1969-12-31,130.0,92.0,89.0,-2.0,5.0,96.0,211,17.0,9.0,78,spain
589,La Rubia - Remix 2,La Nueva Escuela,dembow,2019,1969-12-31,110.0,72.0,76.0,-4.0,38.0,75.0,211,32.0,13.0,77,spain
590,A Dónde Vamos,Morat,colombian pop,2019,1969-12-31,149.0,61.0,63.0,-13.0,23.0,96.0,203,1.0,4.0,77,spain
591,+,Aitana,latin pop,2019,1969-12-31,160.0,67.0,56.0,-4.0,12.0,68.0,219,11.0,3.0,76,spain
592,Zorra,Bad Gyal,rap catalan,2019,1969-12-31,176.0,65.0,64.0,-7.0,8.0,74.0,186,68.0,19.0,76,spain
593,Prendío,Rvfv,trap espanol,2019,1969-12-31,125.0,54.0,83.0,-10.0,13.0,90.0,190,17.0,9.0,76,spain
594,Se iluminaba,Fred De Palma,italian arena pop,2019,1969-12-31,124.0,69.0,79.0,-5.0,7.0,62.0,174,8.0,6.0,74,spain
595,La Cama,Lunay,latin,2019,1969-12-31,174.0,90.0,70.0,-3.0,18.0,82.0,189,20.0,6.0,74,spain
596,Si por mi fuera,Beret,spanish hip hop,2019,1969-12-31,150.0,75.0,70.0,-6.0,10.0,88.0,209,3.0,3.0,73,spain
597,Fuera De Mi Mente,Lérica,spanish pop,2019,1969-12-31,94.0,94.0,74.0,-2.0,5.0,70.0,181,17.0,10.0,73,spain
598,Goteo,Duki,argentine hip hop,2019,1969-12-31,108.0,78.0,47.0,-4.0,19.0,44.0,164,19.0,4.0,73,spain
599,Prendio - Remix,Rvfv,trap espanol,2019,1969-12-31,125.0,76.0,75.0,-6.0,8.0,75.0,191,19.0,6.0,61,spain
600,ROXANNE,Arizona Zervas,pop rap,2019,1969-12-31,117.0,60.0,62.0,-6.0,46.0,46.0,164,5.0,15.0,99,usa
601,Circles,Post Malone,dfw rap,2019,1969-12-31,120.0,76.0,70.0,-3.0,9.0,55.0,215,19.0,4.0,99,usa
602,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,1969-12-31,150.0,63.0,34.0,-7.0,7.0,35.0,241,16.0,4.0,98,usa
603,Falling,Trevor Daniel,alternative r&b,2018,1969-12-31,127.0,43.0,78.0,-9.0,9.0,24.0,159,12.0,4.0,97,usa
604,Santa Tell Me,Ariana Grande,dance pop,2014,1969-12-31,192.0,62.0,53.0,-7.0,29.0,59.0,204,5.0,12.0,95,usa
605,Bandit (with YoungBoy Never Broke Again),Juice WRLD,chicago rap,2019,1969-12-31,180.0,63.0,47.0,-6.0,13.0,43.0,189,7.0,34.0,94,usa
606,Rockin' Around The Christmas Tree,Brenda Lee,adult standards,1964,1969-12-31,67.0,47.0,59.0,-9.0,51.0,90.0,126,61.0,5.0,93,usa
607,Jingle Bell Rock,Bobby Helms,adult standards,1992,1969-12-31,120.0,42.0,75.0,-8.0,7.0,81.0,131,64.0,4.0,92,usa
608,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,1969-12-31,202.0,60.0,24.0,-8.0,12.0,78.0,152,77.0,4.0,92,usa
609,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,1969-12-31,147.0,61.0,33.0,-11.0,77.0,40.0,214,32.0,3.0,92,usa
610,Mistletoe,Justin Bieber,canadian pop,2011,1969-12-31,162.0,56.0,66.0,-9.0,8.0,85.0,183,50.0,5.0,92,usa
611,BOP,DaBaby,nc hip hop,2019,1969-12-31,127.0,79.0,77.0,-4.0,13.0,84.0,160,19.0,37.0,92,usa
612,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,1969-12-31,142.0,26.0,65.0,-13.0,36.0,84.0,155,90.0,6.0,91,usa
613,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,album rock,1980,1969-12-31,95.0,51.0,77.0,-9.0,7.0,77.0,228,32.0,3.0,91,usa
614,Futsal Shuffle 2020,Lil Uzi Vert,melodic rap,2019,1969-12-31,137.0,46.0,88.0,-8.0,23.0,30.0,199,3.0,16.0,90,usa
615,The Christmas Song (Merry Christmas To You),Nat King Cole,adult standards,1962,1969-12-31,79.0,21.0,32.0,-15.0,14.0,21.0,192,92.0,3.0,89,usa
616,White Christmas,Bing Crosby,adult standards,1942,1969-12-31,131.0,16.0,32.0,-16.0,34.0,25.0,177,67.0,4.0,89,usa
617,The Box,Roddy Ricch,melodic rap,2019,1969-12-31,117.0,59.0,90.0,-7.0,79.0,64.0,197,10.0,6.0,89,usa
618,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,1969-12-31,134.0,24.0,45.0,-14.0,18.0,70.0,117,91.0,4.0,89,usa
619,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,1969-12-31,75.0,18.0,44.0,-9.0,32.0,34.0,171,96.0,4.0,89,usa
620,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,1969-12-31,113.0,28.0,73.0,-12.0,12.0,72.0,156,76.0,6.0,88,usa
621,Underneath the Tree,Kelly Clarkson,dance pop,2013,1969-12-31,160.0,81.0,51.0,-5.0,21.0,69.0,230,0.0,5.0,88,usa
622,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,1969-12-31,127.0,78.0,57.0,-7.0,11.0,70.0,153,2.0,3.0,88,usa
624,Blue Christmas,Elvis Presley,adult standards,1957,1969-12-31,95.0,27.0,47.0,-17.0,14.0,58.0,129,90.0,4.0,87,usa
625,Run Rudolph Run - Single Version,Chuck Berry,blues rock,1986,1969-12-31,152.0,72.0,68.0,-11.0,8.0,96.0,166,81.0,9.0,87,usa
626,Like It's Christmas,Jonas Brothers,boy band,2019,1969-12-31,146.0,57.0,73.0,-6.0,5.0,61.0,201,2.0,10.0,87,usa
627,Santa Baby,Ariana Grande,dance pop,2013,1969-12-31,96.0,78.0,75.0,-6.0,28.0,77.0,171,5.0,14.0,87,usa
628,Last Christmas,Wham!,new wave pop,1984,1969-12-31,108.0,48.0,74.0,-12.0,36.0,95.0,263,19.0,3.0,85,usa
629,Feliz Navidad,José Feliciano,latin pop,2001,1969-12-31,149.0,86.0,49.0,-7.0,35.0,96.0,182,53.0,4.0,85,usa
630,Santa Claus Is Coming To Town,The Jackson 5,adult standards,1970,1969-12-31,147.0,76.0,69.0,-5.0,18.0,96.0,144,42.0,3.0,85,usa
631,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,1969-12-31,93.0,22.0,33.0,-11.0,34.0,36.0,207,88.0,3.0,84,usa
632,I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,1969-12-31,129.0,71.0,58.0,-8.0,82.0,61.0,181,26.0,5.0,84,usa
633,Joy To The World,Nat King Cole,adult standards,1962,1969-12-31,102.0,34.0,55.0,-10.0,11.0,66.0,85,82.0,3.0,84,usa
634,Do You Hear What I Hear? - Remastered 2006,Bing Crosby,adult standards,2006,1969-12-31,102.0,25.0,57.0,-15.0,20.0,41.0,166,81.0,3.0,84,usa
635,Carol of the Bells,Mykola Dmytrovych Leontovych,post-romantic era,1990,1969-12-31,47.0,11.0,42.0,-23.0,18.0,80.0,85,99.0,4.0,84,usa
636,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,1969-12-31,140.0,37.0,67.0,-13.0,10.0,86.0,133,59.0,3.0,83,usa
637,Winter Wonderland - Remastered 2006,Bing Crosby,adult standards,2006,1969-12-31,127.0,23.0,59.0,-14.0,12.0,54.0,144,83.0,5.0,83,usa
638,Little Saint Nick - 1991 Remix,The Beach Boys,baroque pop,1964,1969-12-31,131.0,55.0,60.0,-9.0,5.0,97.0,119,11.0,3.0,83,usa
639,Holly Jolly Christmas,Michael Bublé,adult standards,2011,1969-12-31,151.0,43.0,61.0,-9.0,9.0,74.0,122,86.0,4.0,82,usa
640,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,1969-12-31,126.0,76.0,34.0,-7.0,8.0,36.0,166,39.0,5.0,82,usa
641,Mele Kalikimaka (Merry Christmas),Bing Crosby,adult standards,1945,1969-12-31,202.0,22.0,50.0,-12.0,28.0,62.0,175,65.0,9.0,82,usa
642,Mistletoe And Holly - Remastered 1999,Frank Sinatra,adult standards,1957,1969-12-31,110.0,10.0,61.0,-14.0,8.0,34.0,136,80.0,4.0,81,usa
643,"Baby, It's Cold Outside",Dean Martin,adult standards,1959,1969-12-31,130.0,20.0,47.0,-16.0,5.0,54.0,144,88.0,6.0,79,usa
644,Have Yourself A Merry Little Christmas,Judy Garland,adult standards,1944,1969-12-31,181.0,18.0,16.0,-15.0,26.0,11.0,162,97.0,4.0,79,usa
645,O Tannenbaum,Vince Guaraldi Trio,adult standards,1965,1969-12-31,123.0,19.0,58.0,-16.0,13.0,34.0,309,91.0,4.0,79,usa
646,Sleigh Ride,The Ronettes,adult standards,2019,1969-12-31,92.0,77.0,53.0,-7.0,32.0,85.0,181,40.0,3.0,77,usa
647,Santa Baby (with Henri René & His Orchestra),Eartha Kitt,adult standards,2002,1969-12-31,84.0,14.0,70.0,-12.0,19.0,49.0,206,90.0,6.0,76,usa
648,Christmas Time Is Here - Vocal,Vince Guaraldi Trio,adult standards,1965,1969-12-31,75.0,14.0,39.0,-20.0,10.0,9.0,166,98.0,3.0,75,usa
649,This Christmas,Donny Hathaway,chicago soul,1971,1969-12-31,93.0,65.0,63.0,-9.0,25.0,68.0,231,29.0,4.0,59,usa
650,Dance Monkey,Tones and I,australian pop,2019,1969-12-31,98.0,59.0,82.0,-6.0,15.0,51.0,209,69.0,9.0,100,france
651,ROXANNE,Arizona Zervas,pop rap,2019,1969-12-31,117.0,60.0,62.0,-6.0,46.0,46.0,164,5.0,15.0,99,france
652,Memories,Maroon 5,pop,2019,1969-12-31,91.0,32.0,76.0,-7.0,8.0,57.0,189,84.0,5.0,99,france
653,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,1969-12-31,150.0,63.0,34.0,-7.0,7.0,35.0,241,16.0,4.0,98,france
654,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,2019,1969-12-31,105.0,72.0,72.0,-7.0,24.0,67.0,222,3.0,7.0,97,france
655,Don't Start Now,Dua Lipa,dance pop,2019,1969-12-31,124.0,79.0,79.0,-5.0,10.0,68.0,183,1.0,8.0,97,france
656,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,1969-12-31,171.0,80.0,51.0,-4.0,9.0,35.0,202,0.0,6.0,96,france
657,Ride It,Regard,pop edm,2019,1969-12-31,118.0,75.0,88.0,-4.0,11.0,88.0,158,18.0,9.0,95,france
658,Trampoline (with ZAYN),SHAED,electropop,2019,1969-12-31,127.0,46.0,62.0,-6.0,14.0,50.0,184,56.0,3.0,92,france
659,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,1969-12-31,134.0,24.0,45.0,-14.0,18.0,70.0,117,91.0,4.0,89,france
660,Señorita,Shawn Mendes,canadian pop,2019,1969-12-31,117.0,55.0,76.0,-6.0,8.0,75.0,191,4.0,3.0,89,france
661,Last Christmas,Wham!,new wave pop,1984,1969-12-31,108.0,48.0,74.0,-12.0,36.0,95.0,263,19.0,3.0,85,france
662,Que Calor (feat. J Balvin & El Alfa),Major Lazer,dance pop,2019,1969-12-31,126.0,89.0,80.0,-4.0,29.0,46.0,170,4.0,7.0,85,france
663,Roses - Imanbek Remix,SAINt JHN,melodic rap,2019,1969-12-31,122.0,72.0,77.0,-5.0,35.0,90.0,177,2.0,5.0,85,france
664,Popopop,Gambi,pop urbaine,2019,1969-12-31,130.0,65.0,83.0,-6.0,14.0,41.0,156,5.0,31.0,82,france
665,Holly Jolly Christmas,Michael Bublé,adult standards,2011,1969-12-31,151.0,43.0,61.0,-9.0,9.0,74.0,122,86.0,4.0,82,france
666,Moulaga,Heuss L'enfoiré,french hip hop,2019,1969-12-31,125.0,70.0,71.0,-5.0,10.0,48.0,180,33.0,10.0,79,france
667,Oui ou non,Angèle,belgian pop,2019,1969-12-31,200.0,57.0,65.0,-8.0,16.0,36.0,197,64.0,14.0,79,france
668,Hé oh,Gambi,pop urbaine,2019,1969-12-31,105.0,59.0,83.0,-5.0,20.0,54.0,178,7.0,15.0,79,france
669,Ne reviens pas,Gradur,french hip hop,2019,1969-12-31,125.0,78.0,93.0,-3.0,17.0,93.0,189,21.0,6.0,78,france
670,0.4,Aya Nakamura,basshall,2019,1969-12-31,92.0,69.0,84.0,-7.0,13.0,68.0,175,40.0,21.0,78,france
671,Woin Woin feat. RK,Larry,french hip hop,2019,1969-12-31,130.0,64.0,90.0,-7.0,8.0,70.0,173,17.0,29.0,77,france
672,Loin de moi,Naza,francoton,2019,1969-12-31,97.0,46.0,89.0,-8.0,6.0,50.0,144,64.0,24.0,77,france
673,Mayday (feat. Ninho),SCH,french hip hop,2019,1969-12-31,152.0,60.0,61.0,-8.0,9.0,25.0,210,61.0,36.0,77,france
674,Baianá,Bakermat,deep euro house,2019,1969-12-31,122.0,76.0,50.0,-7.0,33.0,49.0,182,0.0,5.0,77,france
675,La vie qu'on mène,Ninho,french hip hop,2019,1969-12-31,113.0,76.0,80.0,-4.0,11.0,46.0,193,69.0,4.0,76,france
676,Bâtiment,Niska,french hip hop,2019,1969-12-31,168.0,70.0,66.0,-7.0,7.0,65.0,211,29.0,14.0,76,france
677,Un peu de haine,PLK,french hip hop,2019,1969-12-31,134.0,66.0,77.0,-7.0,22.0,42.0,168,44.0,6.0,76,france
678,Ma belle,Moha La Squale,french hip hop,2019,1969-12-31,82.0,66.0,74.0,-6.0,9.0,47.0,158,76.0,6.0,76,france
679,Jamais,Mister V,french hip hop,2019,1969-12-31,150.0,67.0,64.0,-7.0,11.0,79.0,192,43.0,9.0,75,france
680,Dans l'univers,Nekfeu,french hip hop,2019,1969-12-31,132.0,42.0,64.0,-10.0,14.0,20.0,244,33.0,17.0,75,france
681,Maman ne le sait pas (feat. Niska),Ninho,french hip hop,2019,1969-12-31,145.0,88.0,76.0,-6.0,12.0,39.0,203,40.0,19.0,75,france
682,Street,Maes,french hip hop,2019,1969-12-31,148.0,30.0,66.0,-20.0,21.0,49.0,185,30.0,8.0,74,france
683,Aristocrate,Heuss L'enfoiré,french hip hop,2019,1969-12-31,117.0,61.0,94.0,-6.0,10.0,63.0,170,27.0,7.0,74,france
684,Méchant,Niska,french hip hop,2019,1969-12-31,98.0,80.0,53.0,-4.0,37.0,41.0,191,33.0,34.0,74,france
685,Marie,Koba LaD,french hip hop,2019,1969-12-31,132.0,75.0,78.0,-6.0,12.0,68.0,195,12.0,4.0,74,france
686,93% [Tijuana],GLK,francoton,2019,1969-12-31,136.0,69.0,80.0,-5.0,18.0,80.0,223,62.0,6.0,73,france
687,Distant,Maes,french hip hop,2019,1969-12-31,105.0,73.0,75.0,-6.0,7.0,49.0,162,56.0,19.0,72,france
688,Avant toi,Vitaa,francoton,2019,1969-12-31,142.0,40.0,63.0,-9.0,10.0,25.0,224,88.0,3.0,72,france
689,Elle est bonne sa mère,Vegedream,francoton,2019,1969-12-31,105.0,74.0,79.0,-5.0,34.0,47.0,197,33.0,6.0,70,france
690,Compliqué,Dadju,francoton,2019,1969-12-31,75.0,74.0,70.0,-7.0,16.0,93.0,215,55.0,5.0,68,france
691,Ma vie,Dadju,francoton,2019,1969-12-31,201.0,50.0,51.0,-8.0,16.0,32.0,209,12.0,8.0,68,france
692,Mortel,Koba LaD,french hip hop,2019,1969-12-31,154.0,69.0,58.0,-6.0,10.0,66.0,204,15.0,46.0,67,france
693,Un million par mois,Djadja & Dinaz,french hip hop,2019,1969-12-31,135.0,54.0,76.0,-6.0,13.0,72.0,189,66.0,5.0,67,france
694,Block,Larry,french hip hop,2019,1969-12-31,77.0,74.0,72.0,-7.0,41.0,71.0,157,29.0,28.0,65,france
695,Petit Papa Noël,Tino Rossi,chanson,1998,1969-12-31,105.0,31.0,33.0,-9.0,6.0,42.0,196,99.0,3.0,61,france
696,Côte Ouest,47ter,french hip hop,2019,1969-12-31,152.0,59.0,77.0,-8.0,18.0,58.0,233,50.0,9.0,59,france
697,God Bless (feat. Damso),Hamza,belgian hip hop,2019,1969-12-31,83.0,57.0,86.0,-10.0,6.0,23.0,162,1.0,12.0,57,france
698,Reste,Maître Gims,french hip hop,2019,1969-12-31,100.0,54.0,75.0,-7.0,10.0,69.0,232,48.0,4.0,54,france
699,Gasolina (feat. Gambi),Hamza,belgian hip hop,2019,1969-12-31,130.0,61.0,95.0,-8.0,12.0,72.0,179,28.0,19.0,52,france
700,Memories,Maroon 5,pop,2019,1969-12-31,91.0,32.0,76.0,-7.0,8.0,57.0,189,84.0,5.0,99,india
701,ROXANNE,Arizona Zervas,pop rap,2019,1969-12-31,117.0,60.0,62.0,-6.0,46.0,46.0,164,5.0,15.0,99,india
702,Circles,Post Malone,dfw rap,2019,1969-12-31,120.0,76.0,70.0,-3.0,9.0,55.0,215,19.0,4.0,99,india
703,Falling,Trevor Daniel,alternative r&b,2018,1969-12-31,127.0,43.0,78.0,-9.0,9.0,24.0,159,12.0,4.0,97,india
704,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,1969-12-31,171.0,80.0,51.0,-4.0,9.0,35.0,202,0.0,6.0,96,india
705,bad guy,Billie Eilish,electropop,2019,1969-12-31,135.0,43.0,70.0,-11.0,10.0,56.0,194,33.0,38.0,96,india
706,hot girl bummer,blackbear,pop,2019,1969-12-31,130.0,56.0,78.0,-7.0,40.0,68.0,185,13.0,8.0,96,india
707,Heartless,The Weeknd,canadian contemporary r&b,2019,1969-12-31,170.0,75.0,53.0,-6.0,12.0,20.0,200,1.0,11.0,94,india
708,Trampoline (with ZAYN),SHAED,electropop,2019,1969-12-31,127.0,46.0,62.0,-6.0,14.0,50.0,184,56.0,3.0,92,india
709,My Oh My (feat. DaBaby),Camila Cabello,dance pop,2019,1969-12-31,105.0,49.0,72.0,-6.0,9.0,38.0,171,2.0,3.0,91,india
710,Señorita,Shawn Mendes,canadian pop,2019,1969-12-31,117.0,55.0,76.0,-6.0,8.0,75.0,191,4.0,3.0,89,india
711,Believer,Imagine Dragons,modern rock,2017,1969-12-31,125.0,78.0,78.0,-4.0,8.0,67.0,204,6.0,13.0,89,india
712,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2019,1969-12-31,90.0,52.0,76.0,-4.0,7.0,93.0,158,53.0,6.0,88,india
713,On My Way,Alan Walker,electro house,2019,1969-12-31,170.0,69.0,51.0,-5.0,30.0,30.0,194,2.0,10.0,84,india
714,"Ghungroo (From ""War"")",Arijit Singh,desi pop,2019,1969-12-31,118.0,73.0,70.0,-6.0,53.0,86.0,303,7.0,3.0,75,india
715,"Tum Hi Aana (From ""Marjaavaan"")",Payal Dev,modern bollywood,2019,1969-12-31,90.0,40.0,47.0,-7.0,15.0,35.0,249,63.0,2.0,74,india
716,Filhall,B Praak,desi pop,2019,1969-12-31,80.0,66.0,53.0,-4.0,13.0,59.0,255,61.0,6.0,74,india
717,Makhna,Tanishk Bagchi,desi pop,2019,1969-12-31,125.0,70.0,70.0,-8.0,16.0,43.0,183,17.0,4.0,73,india
718,Yaad Piya Ki Aane Lagi,Neha Kakkar,desi pop,2019,1969-12-31,108.0,83.0,86.0,-4.0,11.0,69.0,257,38.0,5.0,72,india
719,"Duniyaa (From ""Luka Chuppi"")",Akhil,desi pop,2019,1969-12-31,77.0,66.0,44.0,-6.0,13.0,52.0,223,70.0,4.0,71,india
720,"Pachtaoge (From ""Jaani Ve"")",Arijit Singh,desi pop,2019,1969-12-31,170.0,69.0,52.0,-4.0,12.0,48.0,227,62.0,3.0,71,india
721,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,desi pop,2019,1969-12-31,70.0,40.0,43.0,-8.0,11.0,31.0,285,74.0,4.0,69,india
722,Pal Pal Dil Ke Paas- Title Track,Arijit Singh,desi pop,2019,1969-12-31,124.0,51.0,56.0,-7.0,6.0,39.0,255,59.0,3.0,69,india
723,Sakhiyaan,Maninder Buttar,desi pop,2018,1969-12-31,83.0,67.0,71.0,-6.0,20.0,36.0,179,30.0,4.0,69,india
724,Proper Patola,Badshah,desi hip hop,2018,1969-12-31,172.0,82.0,77.0,-6.0,32.0,49.0,179,49.0,9.0,69,india
725,"Bekhayali (From ""Kabir Singh"")",Sachet Tandon,desi pop,2019,1969-12-31,172.0,59.0,31.0,-5.0,32.0,35.0,372,45.0,4.0,68,india
726,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")",Tony Kakkar,desi pop,2019,1969-12-31,110.0,97.0,80.0,-2.0,35.0,69.0,177,15.0,4.0,68,india
727,8 Parche,Baani Sandhu,punjabi pop,2019,1969-12-31,174.0,86.0,65.0,-2.0,20.0,73.0,210,16.0,21.0,68,india
728,"Jai Jai Shivshankar (From ""War"")",Vishal Dadlani,desi pop,2019,1969-12-31,129.0,90.0,83.0,-5.0,7.0,53.0,231,26.0,8.0,68,india
729,Chal Bombay,DIVINE,desi hip hop,2019,1969-12-31,95.0,62.0,86.0,-7.0,12.0,51.0,174,4.0,32.0,68,india
730,Ik Tera,Maninder Buttar,desi pop,2019,1969-12-31,93.0,71.0,83.0,-5.0,11.0,49.0,161,10.0,7.0,68,india
731,Vaaste,Dhvani Bhanushali,desi pop,2019,1969-12-31,90.0,48.0,44.0,-6.0,10.0,32.0,196,45.0,4.0,68,india
732,Kalank (Title Track),Arijit Singh,desi pop,2019,1969-12-31,118.0,55.0,57.0,-8.0,9.0,44.0,311,52.0,4.0,68,india
733,"Shaitan Ka Saala (From ""Housefull 4"")",Sohail Sen,desi pop,2019,1969-12-31,100.0,77.0,84.0,-5.0,37.0,34.0,147,28.0,19.0,67,india
734,"Naah Goriye (From ""Bala"")",B Praak,desi pop,2019,1969-12-31,100.0,77.0,82.0,-2.0,6.0,72.0,185,46.0,6.0,67,india
735,"Ek Toh Kum Zindagani (From ""Marjaavaan"")",Neha Kakkar,desi pop,2019,1969-12-31,128.0,97.0,67.0,-2.0,6.0,72.0,190,6.0,9.0,67,india
736,"Don't Be Shy Again (From ""Bala"")",Sachin-Jigar,desi pop,2019,1969-12-31,105.0,91.0,80.0,-4.0,31.0,91.0,164,10.0,6.0,65,india
737,"Mere Sohneya (From ""Kabir Singh"")",Sachet Tandon,desi pop,2019,1969-12-31,136.0,64.0,38.0,-6.0,22.0,65.0,193,56.0,4.0,64,india
738,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",Rochak,desi pop,2019,1969-12-31,87.0,38.0,72.0,-8.0,13.0,48.0,201,59.0,6.0,64,india
739,Chandigarh Mein,Badshah,desi hip hop,2019,1969-12-31,100.0,87.0,81.0,-2.0,7.0,34.0,205,1.0,6.0,64,india
740,Dance Like,Harrdy Sandhu,desi pop,2019,1969-12-31,100.0,82.0,86.0,-3.0,30.0,54.0,172,38.0,10.0,64,india
741,Sauda Khara Khara,Diljit Dosanjh,desi pop,2019,1969-12-31,145.0,92.0,69.0,-3.0,11.0,88.0,211,9.0,6.0,63,india
742,"Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,desi pop,2019,1969-12-31,138.0,46.0,39.0,-7.0,11.0,15.0,235,45.0,4.0,62,india
743,"Muqabla (From ""Street Dancer 3D"")",Yash Narvekar,desi pop,2019,1969-12-31,120.0,91.0,80.0,-3.0,39.0,54.0,176,2.0,9.0,61,india
744,Ve Maahi,Arijit Singh,desi pop,2019,1969-12-31,103.0,55.0,65.0,-7.0,22.0,29.0,224,41.0,3.0,61,india
745,"O Saki Saki (From ""Batla House"")",Neha Kakkar,desi pop,2019,1969-12-31,108.0,96.0,74.0,0.0,36.0,57.0,191,16.0,7.0,60,india
746,"Tera Ban Jaunga (From ""Kabir Singh"")",Akhil Sachdeva,desi pop,2019,1969-12-31,94.0,53.0,61.0,-6.0,13.0,40.0,236,82.0,2.0,59,india
747,"Mummy Nu Pasand (From ""Jai Mummy Di"")",Sunanda Sharma,desi pop,2019,1969-12-31,94.0,97.0,78.0,0.0,35.0,80.0,185,1.0,11.0,57,india
748,"Hauli Hauli (From ""De De Pyaar De"")",Garry Sandhu,bhangra,2019,1969-12-31,95.0,98.0,71.0,-3.0,34.0,57.0,209,2.0,8.0,56,india
750,Dance Monkey,Tones and I,australian pop,2019,1969-12-31,98.0,59.0,82.0,-6.0,15.0,51.0,209,69.0,9.0,100,indonesia
